83.72,Recession of tendon
711.35,"Postdysenteric arthropathy, pelvic region and thigh"
607.81,Balanitis xerotica obliterans
35.07,Endovascular replacement of pulmonary valve
801.11,"Closed fracture of base of skull with cerebral laceration and contusion, with no loss of consciousness"
654.94,"Other and unspecified abnormality of organs and soft tissues of pelvis, postpartum condition or complication"
063.8,Other specified tick-borne viral encephalitis
V13.62,Personal history of other (corrected) congenital malformations of genitourinary system
794.10,"Nonspecific abnormal response to nerve stimulation, unspecified"
041.09,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
525.71,Osseointegration failure of dental implant
363.08,"Focal retinitis and retinochoroiditis, peripheral"
774.30,"Neonatal jaundice due to delayed conjugation, cause unspecified"
V13.64,"Personal history of (corrected) congenital malformations of eye, ear, face and neck"
33.99,Other operations on lung
93.8,Other rehabilitation therapy
721.6,Ankylosing vertebral hyperostosis
824,Fracture of ankle
664.2,Third-degree perineal laceration during delivery
E957.0,Suicide and self-inflicted injuries by jumping from residential premises
304.6,Other specified drug dependence
042,Human immunodeficiency virus [HIV] disease
647.30,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
721.9,Spondylosis of unspecified site
98.23,Removal of foreign body from vulva without incision
806.33,Open fracture of T1-T6 level with central cord syndrome
66.1,Diagnostic procedures on fallopian tubes
E888.8,Other fall
392.9,Rheumatic chorea without mention of heart involvement
E981,"Poisoning by gases in domestic use, undetermined whether accidentally or purposely inflicted"
015.96,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
629,Other disorders of female genital organs
315.9,Unspecified delay in development
97.43,Removal of sutures from thorax
979.9,Poisoning by other and unspecified vaccines and biological substances
44.12,Gastroscopy through artificial stoma
78.13,"Application of external fixator device, radius and ulna"
171.0,"Malignant neoplasm of connective and other soft tissue of head, face, and neck"
20.39,Other diagnostic procedures on middle and inner ear
528.7,"Other disturbances of oral epithelium, including tongue"
378.71,Duane's syndrome
V60.6,Person living in residential institution
270.5,Disturbances of histidine metabolism
90.95,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, toxicology"
79.0,Closed reduction of fracture without internal fixation
622.1,Dysplasia of cervix (uteri)
716.59,"Unspecified polyarthropathy or polyarthritis, multiple sites"
E800.0,Railway accident involving collision with rolling stock and injuring railway employee
736.39,Other acquired deformities of hip
962.2,Poisoning by ovarian hormones and synthetic substitutes
E800.2,Railway accident involving collision with rolling stock and injuring pedestrian
V71.9,Observation for unspecified suspected condition
905.0,Late effect of fracture of skull and face bones
78.2,Limb shortening procedures
806.31,Open fracture of T1-T6 level with complete lesion of cord
E950.8,Suicide and self-inflicted poisoning by arsenic and its compounds
576.0,Postcholecystectomy syndrome
188.4,Malignant neoplasm of posterior wall of urinary bladder
008.02,Intestinal infection due to enterotoxigenic E. coli
922.33,Contusion of interscapular region
008.00,"Intestinal infection due to E. coli, unspecified"
973.5,Poisoning by antidiarrheal drugs
312.10,"Undersocialized conduct disorder, unaggressive type, unspecified"
386.03,"Active M̩ni̬re's disease, vestibular"
330-337.99,HEREDITARY AND DEGENERATIVE DISEASES OF THE CENTRAL NERVOUS SYSTEM
V06.5,Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT)
216.4,Benign neoplasm of scalp and skin of neck
831.12,Open posterior dislocation of humerus
927,Crushing injury of upper limb
831.14,Open dislocation of acromioclavicular (joint)
E806.2,Other specified railway accident injuring pedestrian
429.2,"Cardiovascular disease, unspecified"
718.13,"Loose body in joint, forearm"
V23.87,Pregnancy with inconclusive fetal viability
V23.85,Pregnancy resulting from assisted reproductive technology
21.7,Reduction of nasal fracture
E840.8,"Accident to powered aircraft at takeoff or landing injuring ground crew, airline employee"
E840.6,"Accident to powered aircraft at takeoff or landing injuring occupant of unpowered aircraft, except parachutist"
90.82,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture"
01.6,Excision of lesion of skull
804.51,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with no loss of consciousness"
96.28,Manual reduction of enterostomy prolapse
618,Genital prolapse
804.53,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
V58.31,Encounter for change or removal of surgical wound dressing
V90.81,Retained glass fragments
289,Other diseases of blood and blood-forming organs
188.7,Malignant neoplasm of urachus
78.70,"Osteoclasis, unspecified site"
644.00,"Threatened premature labor, unspecified as to episode of care or not applicable"
35.51,"Repair of atrial septal defect with prosthesis, open technique"
646.12,"Edema or excessive weight gain in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication"
951.2,Injury to trigeminal nerve
874.0,"Open wound of larynx and trachea, without mention of complication"
20.96,"Implantation or replacement of cochlear prosthetic device, not otherwise specified"
E934.3,Vitamin k [phytonadione] causing adverse effects in therapeutic use
715.95,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh"
608.21,Extravaginal torsion of spermatic cord
E934.5,Anticoagulant antagonists and other coagulants causing adverse effects in therapeutic use
013.01,"Tuberculous meningitis, bacteriological or histological examination not done"
945.25,"Blisters, epidermal loss [second degree] of knee"
675.10,"Abscess of breast associated with childbirth, unspecified as to episode of care or not applicable"
389.15,"Sensorineural hearing loss, unilateral"
205.1,"Myeloid leukemia, chronic"
716.89,"Other specified arthropathy, multiple sites"
622.4,Stricture and stenosis of cervix
428.42,Chronic combined systolic and diastolic heart failure
340,Multiple sclerosis
33.20,Thoracoscopic lung biopsy
758.0,Down's syndrome
350.8,Other specified trigeminal nerve disorders
524.64,Temporomandibular joint sounds on opening and/or closing the jaw
800.32,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
916,"Superficial injury of hip, thigh, leg, and ankle"
756.2,Cervical rib
602.9,Unspecified disorder of prostate
587,"Renal sclerosis, unspecified"
276.50,"Volume depletion, unspecified"
707.13,Ulcer of ankle
484.6,Pneumonia in aspergillosis
625.5,Pelvic congestion syndrome
304.20,"Cocaine dependence, unspecified"
378.15,Alternating exotropia
342.11,Spastic hemiplegia and hemiparesis affecting dominant side
26.29,Other excision of salivary gland lesion
495.9,Unspecified allergic alveolitis and pneumonitis
38.39,"Resection of vessel with anastomosis, lower limb veins"
410.81,"Acute myocardial infarction of other specified sites, initial episode of care"
013.31,"Tuberculous abscess of brain, bacteriological or histological examination not done"
157.9,"Malignant neoplasm of pancreas, part unspecified"
997.61,Neuroma of amputation stump
87.01,Pneumoencephalogram
53.00,"Unilateral repair of inguinal hernia, not otherwise specified"
649.22,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
058.1,Roseola infantum
669.04,"Maternal distress complicating labor and delivery, postpartum condition or complication"
669.02,"Maternal distress complicating labor and delivery, delivered, with mention of postpartum complication"
E987,"Falling from high place, undetermined whether accidentally or purposely inflicted"
633.00,Abdominal pregnancy without intrauterine pregnancy
649.24,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
112.81,Candidal endocarditis
89.65,Measurement of systemic arterial blood gases
V76.44,Screening for malignant neoplasms of prostate
251.3,Postsurgical hypoinsulinemia
174.1,Malignant neoplasm of central portion of female breast
35.54,Repair of endocardial cushion defect with prosthesis
85.20,"Excision or destruction of breast tissue, not otherwise specified"
85.36,Other bilateral subcutaneous mammectomy
51.35,Other gallbladder anastomosis
372.72,Conjunctival hemorrhage
070.53,Hepatitis E without mention of hepatic coma
01.53,Lobectomy of brain
070.51,Acute hepatitis C without mention of hepatic coma
727.2,Specific bursitides often of occupational origin
14.41,Scleral buckling with implant
365.03,Steroid responders borderline glaucoma
780.64,Chills (without fever)
576,Other disorders of biliary tract
941.36,"Full-thickness skin loss [third degree, not otherwise specified] of scalp [any part]"
524.06,"Major anomalies of jaw size, microgenia"
77.58,"Other excision, fusion and repair of toes"
614.5,"Acute or unspecified pelvic peritonitis, female"
38.9,Puncture of vessel
61.91,Percutaneous aspiration of tunica vaginalis
144.8,Malignant neoplasm of other sites of floor of mouth
824.0,"Fracture of medial malleolus, closed"
451.84,"Phlebitis and thrombophlebitis of upper extremities, unspecified"
07.5,Operations on pineal gland
42.61,Antesternal esophagoesophagostomy
19.6,Revision of tympanoplasty
76.62,Open osteoplasty [osteotomy] of mandibular ramus
646.51,"Asymptomatic bacteriuria in pregnancy, delivered, with or without mention of antepartum condition"
836.5,"Other dislocation of knee, closed"
948.70,"Burn [any degree] involving 70-79 percent of body surface with third degree burn, less than 10 percent or unspecified"
786.07,Wheezing
461.1,Acute frontal sinusitis
121.0,Opisthorchiasis
786.09,Other respiratory abnormalities
712.14,"Chondrocalcinosis, due to dicalcium phosphate crystals, hand"
115.91,"Histoplasmosis, unspecified, meningitis"
115.93,"Histoplasmosis, unspecified, pericarditis"
V25.41,Surveillance of contraceptive pill
V45.59,Presence of other contraceptive device
832.2,Nursemaid's elbow
668.81,"Other complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
488.09,Influenza due to identified avian influenza virus with other manifestations
163.1,Malignant neoplasm of visceral pleura
668.83,"Other complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
93.3,Other physical therapy therapeutic procedures
385.1,Adhesive middle ear disease
807.5,Closed fracture of larynx and trachea
359.81,Critical illness myopathy
15.21,Lengthening procedure on one extraocular muscle
49.22,Biopsy of perianal tissue
73.2,Internal and combined version and extraction
885,Traumatic amputation of thumb (complete) (partial)
674.03,"Cerebrovascular disorders in the puerperium, antepartum condition or complication"
231.8,Carcinoma in situ of other specified parts of respiratory system
300.01,Panic disorder without agoraphobia
526.0,Developmental odontogenic cysts
047.1,Meningitis due to echo virus
387.2,Cochlear otosclerosis
782.9,Other symptoms involving skin and integumentary tissues
372.14,Other chronic allergic conjunctivitis
012.24,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
V13.23,Personal history of vaginal dysplasia
364.82,Plateau iris syndrome
86.7,Pedicle grafts or flaps
402.91,Unspecified hypertensive heart disease with heart failure
V10.20,"Personal history of malignant neoplasm of respiratory organ, unspecified"
V59.5,Cornea donors
27.91,Labial frenotomy
V10.22,"Personal history of malignant neoplasm of nasal cavities, middle ear, and accessory sinuses"
110.0,Dermatophytosis of scalp and beard
08.61,Reconstruction of eyelid with skin flap or graft
590.81,Pyelitis or pyelonephritis in diseases classified elsewhere
301.89,Other personality disorders
655.71,"Decreased fetal movements, affecting management of mother, delivered, with or without mention of antepartum condition"
640.9,Unspecified hemorrhage in early pregnancy
708.0,Allergic urticaria
800.64,"Open fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
39.79,Other endovascular procedures on other vessels
292.81,Drug-induced delirium
132.3,Mixed pediculosis infestation
41,Operations on bone marrow and spleen
902.27,Injury to inferior mesenteric artery
902.29,"Injury to celiac and mesenteric arteries, other"
800.62,"Open fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
38.99,Other puncture of vein
07.59,Other operations on pineal gland
739.1,"Nonallopathic lesions, cervical region"
719.3,Palindromic rheumatism
771.6,Neonatal conjunctivitis and dacryocystitis
874,Open wound of neck
643.23,"Late vomiting of pregnancy, antepartum condition or complication"
374.1,Ectropion
663.03,"Prolapse of cord complicating labor and delivery, antepartum condition or complication"
354.3,Lesion of radial nerve
718.52,"Ankylosis of joint, upper arm"
912.5,"Insect bite, nonvenomous of shoulder and upper arm, infected"
995.81,Adult physical abuse
33.39,Other surgical collapse of lung
998.8,"Other specified complications of procedures, not elsewhere classified"
552.02,"Femoral hernia with obstruction, bilateral (not specified as recurrent)"
874.01,"Open wound of larynx, without mention of complication"
V88.21,Acquired absence of hip joint
706.2,Sebaceous cyst
94.11,Psychiatric mental status determination
453.40,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
708.3,Dermatographic urticaria
69.95,Incision of cervix
719.6,Other symptoms referable to joint
E860.1,Accidental poisoning by other and unspecified ethyl alcohol and its products
970.1,Poisoning by opiate antagonists
V54.26,Aftercare for healing pathologic fracture of lower leg
803.74,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
212.6,Benign neoplasm of thymus
07.81,Other partial excision of thymus
E872.3,Failure of sterile precautions during injection or vaccination
07,Operations on other endocrine glands
959.14,Other injury of external genitals
02.34,Ventricular shunt to abdominal cavity and organs
923.10,Contusion of forearm
780.96,Generalized pain
84.65,"Insertion of total spinal disc prosthesis, lumbosacral"
813.0,"Fracture of upper end of radius and ulna, closed"
343.3,Congenital monoplegia
670.14,"Puerperal endometritis, postpartum condition or complication"
V56.2,Fitting and adjustment of peritoneal dialysis catheter
V76.0,Special screening for malignant neoplasms of respiratory organs
85.83,Full-thickness graft to breast
360.63,Foreign body in lens
51.82,Pancreatic sphincterotomy
807.10,"Open fracture of rib(s), unspecified"
80.36,"Biopsy of joint structure, knee"
426.51,Right bundle branch block and left posterior fascicular block
746.83,Infundibular pulmonic stenosis
51.13,Open biopsy of gallbladder or bile ducts
379.92,Swelling or mass of eye
363.70,"Choroidal detachment, unspecified"
887,Traumatic amputation of arm and hand (complete) (partial)
176.4,"Kaposi's sarcoma, lung"
17.7,Other diagnostic and therapeutic procedures
715.30,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified"
753.21,Congenital obstruction of ureteropelvic junction
V23.9,Supervision of unspecified high-risk pregnancy
04.8,Injection into peripheral nerve
16.9,Other operations on orbit and eyeball
045.02,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type II"
191.5,Malignant neoplasm of ventricles
716.24,"Allergic arthritis, hand"
42.52,Intrathoracic esophagogastrostomy
385.12,Adhesions of drum head to stapes
20.61,Fenestration of inner ear (initial)
54.62,Delayed closure of granulating abdominal wound
616.5,Ulceration of vulva
943.36,"Full-thickness skin loss [third degree, not otherwise specified] of scapular region"
011.10,"Tuberculosis of lung, nodular, unspecified"
712.88,"Other specified crystal arthropathies, other specified sites"
997.49,Other digestive system complications
011.12,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
969.02,Poisoning by selective serotonin and norepinephrine reuptake inhibitors
E883,Accidental fall into hole or other opening in surface
053.22,Herpes zoster iridocyclitis
159.9,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
999.61,ABO incompatibility with hemolytic transfusion reaction not specified as acute or delayed
661.40,"Hypertonic, incoordinate, or prolonged uterine contractions, unspecified as to episode of care or not applicable"
51.79,Repair of other bile ducts
780-789.99,SYMPTOMS
389.2,Mixed conductive and sensorineural hearing loss
678.13,"Fetal conjoined twins, antepartum condition or complication"
642.11,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
E866.8,Accidental poisoning by other specified solid or liquid substances
31.69,Other repair of larynx
717.40,"Derangement of lateral meniscus, unspecified"
210.0,Benign neoplasm of lip
368.62,Acquired night blindness
81.35,"Refusion of dorsal and dorsolumbar spine, posterior column, posterior technique"
E866.6,Accidental poisoning by glues and adhesives
27.22,Biopsy of uvula and soft palate
665,Other obstetrical trauma
851.55,"Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
851.53,"Cerebellar or brain stem contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
277.30,"Amyloidosis, unspecified"
V13.67,Personal history of (corrected) congenital malformations of digestive system
794.15,Nonspecific abnormal auditory function studies
96.06,Insertion of Sengstaken tube
145.3,Malignant neoplasm of soft palate
00.44,Procedure on vessel bifurcation
421.0,Acute and subacute bacterial endocarditis
E951,Suicide and self-inflicted poisoning by gases in domestic use
E000.2,Volunteer activity
665.03,"Rupture of uterus before onset of labor, antepartum condition or complication"
092.0,"Early syphilis, latent, serological relapse after treatment"
665.01,"Rupture of uterus before onset of labor, delivered, with or without mention of antepartum condition"
379.06,Brawny scleritis
876,Open wound of back
647.33,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
81.95,Suture of capsule or ligament of other lower extremity
E934.8,Other agents affecting blood constituents causing adverse effects in therapeutic use
374.14,Cicatricial ectropion
E927.2,Excessive physical exertion
873.29,"Open wound of multiple sites of nose, without mention of complication"
715.98,"Osteoarthrosis, unspecified whether generalized or localized, other specified sites"
E927.4,Cumulative trauma from repetitive impact
E992,Injury due to war operations by explosion of marine weapons
531.10,"Acute gastric ulcer with perforation, without mention of obstruction"
016.34,"Tuberculosis of other urinary organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
761.1,Premature rupture of membranes affecting fetus or newborn
03.93,Implantation or replacement of spinal neurostimulator lead(s)
453.84,Acute venous embolism and thrombosis of axillary veins
826.0,Closed fracture of one or more phalanges of foot
636.01,"Illegally induced abortion, complicated by genital tract and pelvic infection, incomplete"
775.81,Other acidosis of newborn
828.1,"Open multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum"
V61.11,Counseling for victim of spousal and partner abuse
V07.59,Use of other agents affecting estrogen receptors and estrogen levels
123.0,"Taenia solium infection, intestinal form"
201.25,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb"
648.51,"Congenital cardiovascular disorders of mother, delivered, with or without mention of antepartum condition"
04.73,Accessory-hypoglossal anastomosis
992,Effects of heat and light
914.5,"Insect bite, nonvenomous, of hand(s) except finger(s) alone, infected"
307.21,Transient tic disorder
307.23,Tourette's disorder
339.89,Other headache syndromes
585.5,"Chronic kidney disease, Stage V"
V72.41,"Pregnancy examination or test, negative result"
659.81,"Other specified indications for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition"
16.99,Other operations on eyeball
642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium"
211.5,Benign neoplasm of liver and biliary passages
081.0,Murine (endemic) typhus
539,Complications of bariatric procedures
225.9,"Benign neoplasm of nervous system, part unspecified"
634.21,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, incomplete"
79.25,"Open reduction of fracture without internal fixation, femur"
813.06,Closed fracture of neck of radius
438.7,"Late effects of cerebrovascular disease, disturbances of vision"
11.39,Other excision of pterygium
727.63,Nontraumatic rupture of extensor tendons of hand and wrist
711.41,"Arthropathy associated with other bacterial diseases, shoulder region"
778.8,Other specified conditions involving the integument of fetus and newborn
362.61,Paving stone degeneration
664.80,"Other specified trauma to perineum and vulva, unspecified as to episode of care or not applicable"
305.41,"Sedative, hypnotic or anxiolytic abuse, continuous"
003.22,Salmonella pneumonia
784.0,Headache
200.18,"Lymphosarcoma, lymph nodes of multiple sites"
015.70,"Tuberculosis of other specified bone, unspecified"
173.39,Other specified malignant neoplasm of skin of other and unspecified parts of face
84.5,Implantation of other musculoskeletal devices and substances
88.43,Arteriography of pulmonary arteries
38.61,"Other excision of vessels, intracranial vessels"
04.76,Repair of old traumatic injury of cranial and peripheral nerves
410.0,"Acute myocardial infarction, of anterolateral wall"
750.1,Other congenital anomalies of tongue
404.91,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
92.21,Superficial radiation
442.82,Aneurysm of subclavian artery
815.0,Closed fracture of metacarpal bones
69.2,Repair of uterine supporting structures
442.84,Aneurysm of other visceral artery
296.05,"Bipolar I disorder, single manic episode, in partial or unspecified remission"
296.03,"Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior"
83.03,Bursotomy
719.36,"Palindromic rheumatism, lower leg"
719.34,"Palindromic rheumatism, hand"
112.0,Candidiasis of mouth
741.03,"Spina bifida with hydrocephalus, lumbar region"
V61.41,Alcoholism in family
39.57,Repair of blood vessel with synthetic patch graft
786.30,"Hemoptysis, unspecified"
520.8,Other specified disorders of tooth development and eruption
V49.0,Deficiencies of limbs
191.8,Malignant neoplasm of other parts of brain
099.49,"Other nongonococcal urethritis, other specified organism"
E829.4,Other road vehicle accidents injuring occupant of streetcar
995.69,Anaphylactic reaction due to other specified food
767.5,Facial nerve injury due to birth trauma
E945.5,Expectorants causing adverse effects in therapeutic use
E945.3,Other and unspecified drugs acting on muscles causing adverse effects in therapeutic use
301.22,Schizotypal personality disorder
854.09,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with concussion, unspecified"
050.2,Modified smallpox
89.0,"Diagnostic interview, consultation, and evaluation"
E996.1,Injury due to war operations by indirect blast effect of nuclear weapon
906.6,Late effect of burn of wrist and hand
767.8,Other specified birth trauma
716.63,"Unspecified monoarthritis, forearm"
653.80,"Disproportion of other origin, unspecified as to episode of care or not applicable"
99.95,Stretching of foreskin
008.46,Intestinal infection due to other anaerobes
008.44,Intestinal infection due to yersinia enterocolitica
773.0,Hemolytic disease of fetus or newborn due to Rh isoimmunization
413.1,Prinzmetal angina
753.2,"Obstructive defects of renal pelvis and ureter, congenital"
11.9,Other operations on cornea
214.9,"Lipoma, unspecified site"
455.2,Internal hemorrhoids with other complication
642.50,"Severe pre-eclampsia, unspecified as to episode of care or not applicable"
801.55,"Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
115.1,Infection by Histoplasma duboisii
404.03,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
91.06,"Microscopic examination of specimen from liver, biliary tract, and pancreas, cell block and Papanicolaou smear"
00.31,Computer assisted surgery with CT/CTA
250,Diabetes mellitus
37,Other operations on heart and pericardium
851.92,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with brief [less than one hour] loss of consciousness"
668.0,Pulmonary complications of anesthesia or other sedation in labor and delivery
789.40,"Abdominal rigidity, unspecified site"
523.9,Unspecified gingival and periodontal disease
E998,Injury due to war operations but occurring after cessation of hostilities
952.01,C1-C4 level with complete lesion of spinal cord
666.04,"Third-stage postpartum hemorrhage, postpartum condition or complication"
81.98,Other diagnostic procedures on joint structures
81.82,Repair of recurrent dislocation of shoulder
339.2,Post-traumatic headache
E006.4,Activities involving bike riding
V18.2,Family history of anemia
00.91,Transplant from live related donor
805.16,Open fracture of sixth cervical vertebra
839.11,"Open dislocation, first cervical vertebra"
29.39,Other excision or destruction of lesion or tissue of pharynx
474.11,Hypertrophy of tonsils alone
660.93,"Unspecified obstructed labor, antepartum condition or complication"
320.81,Anaerobic meningitis
660.91,"Unspecified obstructed labor, delivered, with or without mention of antepartum condition"
666.2,Delayed and secondary postpartum hemorrhage
801.85,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
V89,Other suspected conditions not found
402.1,Benign hypertensive heart disease
742.2,Congenital reduction deformities of brain
722.4,Degeneration of cervical intervertebral disc
80.01,"Arthrotomy for removal of prosthesis without replacement, shoulder"
90.13,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture and sensitivity"
664.24,"Third-degree perineal laceration, postpartum condition or complication"
V16.4,Family history of malignant neoplasm of genital organs
E930.0,Penicillins causing adverse effects in therapeutic use
995.0,Other anaphylactic reaction
678-679.99,OTHER MATERNAL AND FETAL COMPLICATIONS
733.15,Pathologic fracture of other specified part of femur
444.2,Embolism and thrombosis of arteries of the extremities
173.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder"
637.2,Unspecified abortion complicated by damage to pelvic organs or tissues
997.1,"Cardiac complications, not elsewhere classified"
977.3,Poisoning by alcohol deterrents
21.07,Control of epistaxis by excision of nasal mucosa and skin grafting of septum and lateral nasal wall
91.0,"Microscopic examination of specimen from liver, biliary tract, and pancreas"
826,Fracture of one or more phalanges of foot
438.30,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side"
648.5,"Congenital cardiovascular disorders complicating pregnancy, childbirth, or the puerperium"
308.4,Mixed disorders as reaction to stress
V73.6,Screening examination for trachoma
